Time (s),Commanded (deg),SPI (deg),Error (deg)
26.560348987579346,-2.005383421393002,-1.935560703277588,-0.06982271811541407
26.798828840255737,-2.005383421393002,-1.9356651306152344,-0.06971829077776759
27.036688804626465,-2.005383421393002,-1.9357173442840576,-0.06966607710894435
27.2754225730896,-2.005383421393002,-1.9357695579528809,-0.0696138634401211
27.516129970550537,-2.005383421393002,-1.9358739852905273,-0.06950943610247462
27.75940752029419,-2.005383421393002,-1.9358739852905273,-0.06950943610247462
27.997710704803467,-2.005383421393002,-1.9359784126281738,-0.06940500876482814
28.237375020980835,-2.0053487525266758,-1.9359784126281738,-0.06937033989850194
28.473599433898926,-2.0053487525266758,-1.9359784126281738,-0.06937033989850194
28.718994617462158,-1.9886474469128776,-1.9378581047058105,-0.0507893422070671
28.963341236114502,-1.935461030286901,-1.9128999710083008,-0.022561059278600304
29.20761013031006,-1.8335268216974594,-1.8153126239776611,-0.018214197719798264
29.453510522842407,-1.7386458761551802,-1.7192394733428955,-0.019406402812284673
29.69661259651184,-1.6414946247549618,-1.6140289306640625,-0.027465694090899273
29.94207191467285,-1.5489438982570873,-1.5141963958740234,-0.0347475023830639
30.18425965309143,-1.4579071577857523,-1.4204728603363037,-0.037434297449448595
30.428245306015015,-1.3688085079193115,-1.3274281024932861,-0.04138040542602539
30.672319173812866,-1.2822393389309155,-1.2349576950073242,-0.04728164392359124
30.9143488407135,-1.194574566448436,-1.1502671241760254,-0.04430744227241057
31.15616774559021,-1.1025734929477466,-1.060041904449463,-0.04253158849828376
31.40074586868286,-1.0289034983691048,-0.9868383407592773,-0.04206515760982743
31.643304109573364,-0.9349673635819379,-0.902043342590332,-0.03292402099160585
31.890936613082886,-0.8606410166796516,-0.8299362659454346,-0.03070475073421708
32.13682270050049,-0.7618332329918357,-0.7375180721282959,-0.024315160863539798
32.38331460952759,-0.662211909013636,-0.6384687423706055,-0.023743166643030555
32.62740874290466,-0.5753022782942828,-0.5525250434875488,-0.022777234806733992
32.871713399887085,-0.48915620411143584,-0.4679388999938965,-0.02121730411753936
33.11511492729187,-0.40086183828466077,-0.38089871406555176,-0.019963124219109007
33.35772466659546,-0.31440121987286734,-0.2951638698577881,-0.019237350015079258
33.60153913497925,-0.22861799071816838,-0.2092723846435547,-0.01934560607461369
33.844032764434814,-0.14046297353856704,-0.12217998504638672,-0.018282988492180324
34.09132528305054,-0.05093651659348432,-0.03080606460571289,-0.020130451987771428
34.33513355255127,0.03410604420830222,0.05565977096557617,-0.021553726757273954
34.57986497879028,0.12024673293618594,0.14327430725097656,-0.02302757431479062
34.826812505722046,0.20886489924262552,0.2331862449645996,-0.024321345721974086
35.07507514953613,0.2956533572253059,0.32111406326293945,-0.025460706037633563
35.32294988632202,0.3805885455187629,0.4052302837371826,-0.024641738218419695
35.56873559951782,0.4678204620585722,0.49127840995788574,-0.023457947899313547
35.813533544540405,0.5539476030013141,0.577796459197998,-0.023848856196683976
36.06207084655762,0.6409042723038617,0.6642622947692871,-0.0233580224654254
36.30853343009949,0.7290021531722125,0.7516679763793945,-0.022665823207182023
36.55742120742798,0.8173744398004869,0.8425197601318359,-0.025145320331349086
36.8029305934906,0.9039974633385154,0.930708646774292,-0.02671118343577661
37.05156087875366,0.9918541768017937,1.0198895931243896,-0.028035416322595985
37.29774498939514,1.080221498713774,1.1089661121368408,-0.02874461342306689
37.546151876449585,1.1677853780634262,1.1977815628051758,-0.029996184741749587
37.78864526748657,1.2543443651760326,1.2848217487335205,-0.030477383557487858
38.031493186950684,1.3403547090642594,1.3708698749542236,-0.03051516588996428
38.27527570724487,1.4280115295858944,1.4583799839019775,-0.03036845431608315
38.518067836761475,1.5129136898938347,1.5429661273956299,-0.030052437501795204
38.768985986709595,1.602118870791267,1.633086919784546,-0.030968048993278874
39.0129816532135,1.6878755513359518,1.7207536697387695,-0.032878118402817735
39.258750200271606,1.7720849864623125,1.806227445602417,-0.0341424591401045
39.50658440589905,1.862403063213124,1.8978102207183838,-0.03540715750525969
39.76878809928894,1.9476328316856832,1.9841716289520264,-0.036538797266343126
40.013511180877686,1.9977516531944275,2.034975528717041,-0.037223875522613525
40.25927209854126,1.9987032693975113,2.0359675884246826,-0.03726431902717131
40.50511860847473,1.999072641134262,2.0365941524505615,-0.03752151131629944
40.76966619491577,1.9992857715662788,2.0367507934570312,-0.037465021890752404
41.01387929916382,1.999411214800442,2.0368552207946777,-0.03744400599423581
41.2544379234314,2.001098766046412,2.0385260581970215,-0.03742729215060958
41.49377727508545,2.0014508874977337,2.0389437675476074,-0.03749288004987372
41.7596538066864,2.001380776657778,2.039048194885254,-0.0376674182274761
42.00018620491028,2.0016669052488663,2.039257049560547,-0.03759014431168062
42.23834443092346,2.001773946425494,2.039257049560547,-0.037483103135052875
42.47848916053772,2.001880645751953,2.0394136905670166,-0.03753304481506348
42.71876239776611,2.0019569572280433,2.039518117904663,-0.03756116067661974
42.957823514938354,2.0019850415341995,2.039518117904663,-0.03753307637046355
43.19431972503662,2.0020501298062943,2.0395703315734863,-0.03752020176719206
43.43880653381348,2.002056772218031,2.0397791862487793,-0.037722414030748386
43.68024206161499,2.0021195043535793,2.039674758911133,-0.037555254557553486
43.91616749763489,2.002120719236486,2.039726972579956,-0.03760625334347001
44.15443181991577,2.002120719236486,2.0397791862487793,-0.03765846701229325
44.39340829849243,2.002120719236486,2.039726972579956,-0.03760625334347001
44.63083219528198,2.002120871754254,2.0397791862487793,-0.0376583144945255
44.891066551208496,1.9707542649086784,2.042703151702881,-0.07194888679420242
45.131176233291626,1.891830514459049,1.9699695110321045,-0.07813899657305545
45.37207388877869,1.7947033713845646,1.8720166683197021,-0.07731329693513755
45.6130690574646,1.7031768911025102,1.7798073291778564,-0.0766304380753462
45.85409116744995,1.6103664426242603,1.6854572296142578,-0.0750907869899975
46.09522843360901,1.5203998509575338,1.5955452919006348,-0.07514544094310094
46.335984230041504,1.4308586260851692,1.5069386959075928,-0.07608006982242355
46.57639288902283,1.3440919202916763,1.420942783355713,-0.07685086306403655
46.82187581062317,1.2520105698529411,1.330613136291504,-0.07860256643856278
47.06729817390442,1.1618777022642248,1.2416410446166992,-0.0797633423524744
47.31088924407959,1.0725207188550163,1.152773380279541,-0.0802526614245247
47.55350375175476,0.9854420353384579,1.0648455619812012,-0.0794035266427433
47.79307150840759,0.8974893093109131,0.9761345386505127,-0.07864522933959961
48.03692698478699,0.8101564154905432,0.8872668743133545,-0.07711045882281131
